,Quarter,Tm,Detail,NYG,DAL
0,1.0,Giants,"Safety, Collins tackled Clack in end zone",2,0
1,1.0,Cowboys,Roger Ruzek 41 yard field goal,2,3
2,1.0,Giants,Raul Allegre 32 yard field goal,5,3
3,3.0,Giants,Lionel Manuel 9 yard pass from Phil Simms (Raul Allegre kick),12,3
4,3.0,Cowboys,Herschel Walker 27 yard pass from Steve Pelluer (Roger Ruzek kick),12,10
