,Quarter,Tm,Detail,OAK,DEN
0,1.0,Broncos,Bill Thompson 80 yard defensive fumble return (Jim Turner kick),0,7
1,2.0,Raiders,George Blanda 35 yard field goal,3,7
2,2.0,Raiders,Mike Siani 80 yard pass from Ken Stabler (George Blanda kick),10,7
3,2.0,Raiders,George Blanda 13 yard field goal,13,7
4,3.0,Broncos,Floyd Little 1 yard rush (Jim Turner kick),13,14
5,3.0,Broncos,Jim Turner 43 yard field goal,13,17
6,3.0,Raiders,Cliff Branch 16 yard pass from Ken Stabler (George Blanda kick),20,17
7,4.0,Broncos,Jim Turner 37 yard field goal,20,20
8,4.0,Raiders,George Blanda 49 yard field goal,23,20
9,4.0,Broncos,Jim Turner 35 yard field goal,23,23
