,Quarter,Time,Tm,Detail,TAM,SFO
0,2.0,6:00,49ers,Joe Nedney 45 yard field goal,0,3
1,2.0,0:18,Buccaneers,Matt Bryant 47 yard field goal,3,3
2,2.0,0:00,49ers,Joe Nedney 47 yard field goal,3,6
3,3.0,6:16,49ers,Joe Nedney 41 yard field goal,3,9
4,3.0,2:45,49ers,Joe Nedney 46 yard field goal,3,12
5,4.0,10:33,Buccaneers,Joey Galloway 78 yard pass from Chris Simms (Matt Bryant kick),10,12
6,4.0,1:56,49ers,Joe Nedney 28 yard field goal,10,15
