,Quarter,Tm,Detail,PHI,PIT
0,1.0,Steelers,Willie Asbury 37 yard pass from George Izo (Mike Clark kick),0,7
1,2.0,Eagles,Earl Gros 11 yard rush (Sam Baker kick),7,7
2,2.0,Steelers,Willie Asbury 11 yard rush (Mike Clark kick),7,14
3,2.0,Eagles,Earl Gros 1 yard rush (Sam Baker kick),14,14
4,4.0,Eagles,Timmy Brown 9 yard pass from Norm Snead (Sam Baker kick),21,14
5,4.0,Eagles,Ron Goodwin 11 yard pass from Norm Snead (Sam Baker kick),28,14
6,4.0,Eagles,Sam Baker 51 yard field goal,31,14
