,Quarter,Tm,Detail,NYJ,BUF
0,1.0,Bills,Marlin Briscoe 41 yard pass from Dennis Shaw (John Leypoldt kick),0,7
1,2.0,Jets,Don Maynard 33 yard pass from Bob Davis (Bobby Howfield kick),7,7
2,2.0,Jets,Bobby Howfield 37 yard field goal,10,7
3,2.0,Jets,George Nock 19 yard pass from Bob Davis (Bobby Howfield kick),17,7
4,4.0,Jets,Bobby Howfield 31 yard field goal,20,7
