,Quarter,Time,Tm,Detail,TEN,IND
0,1.0,11:33,Colts,Mike Vanderjagt 47 yard field goal,0,3
1,1.0,10:37,Titans,Drew Bennett 48 yard pass from Billy Volek (Gary Anderson kick),7,3
2,1.0,8:08,Titans,Gary Anderson 45 yard field goal,10,3
3,1.0,5:10,Colts,Marvin Harrison 24 yard pass from Peyton Manning (Mike Vanderjagt kick),10,10
4,1.0,3:54,Titans,Drew Bennett 28 yard pass from Billy Volek (Gary Anderson kick),17,10
5,1.0,1:33,Colts,Edgerrin James 4 yard rush (Mike Vanderjagt kick),17,17
6,1.0,0:00,Titans,Drew Bennett 48 yard pass from Billy Volek (Gary Anderson kick),24,17
7,2.0,9:02,Colts,Brandon Stokley 28 yard pass from Peyton Manning (Mike Vanderjagt kick),24,24
8,2.0,5:05,Colts,Rob Morris 68 yard blocked field goal return (Mike Vanderjagt kick),24,31
9,3.0,11:57,Colts,Mike Vanderjagt 20 yard field goal,24,34
10,3.0,4:37,Colts,Edgerrin James 12 yard rush (Mike Vanderjagt kick),24,41
11,4.0,12:56,Colts,Reggie Wayne 10 yard pass from Peyton Manning (Mike Vanderjagt kick),24,48
12,4.0,6:57,Colts,Mike Vanderjagt 37 yard field goal,24,51
