,Quarter,Time,Tm,Detail,OAK,SEA
0,1.0,9:10,Raiders,Sebastian Janikowski 48 yard field goal,3,0
1,1.0,4:07,Seahawks,Marshawn Lynch 3 yard rush (Stephen Hauschka kick),3,7
2,1.0,0:00,Seahawks,Bruce Irvin 35 yard interception return (Stephen Hauschka kick),3,14
3,2.0,12:24,Seahawks,Stephen Hauschka 34 yard field goal,3,17
4,2.0,0:54,Seahawks,Marshawn Lynch 5 yard rush (Stephen Hauschka kick),3,24
5,3.0,13:52,Raiders,Brice Butler blocked punt recovery in end zone (Sebastian Janikowski kick),10,24
6,3.0,2:58,Raiders,Mychal Rivera 1 yard pass from Derek Carr (Sebastian Janikowski kick),17,24
7,4.0,14:50,Seahawks,Stephen Hauschka 30 yard field goal,17,27
8,4.0,9:19,Seahawks,Stephen Hauschka 40 yard field goal,17,30
9,4.0,1:52,Raiders,Mychal Rivera 1 yard pass from Derek Carr (Sebastian Janikowski kick),24,30
