,Quarter,Tm,Detail,GNB,NYG
0,1.0,Giants,Ward Cuff 14 yard field goal,0,3
1,1.0,Giants,Tuffy Leemans 6 yard rush,0,9
2,2.0,Packers,Carl Mulleneaux 40 yard pass from Arnie Herber (Tiny Engebretsen kick),7,9
3,2.0,Giants,Charles Barnard 21 yard pass from Ed Danowski (Ward Cuff kick),7,16
4,2.0,Packers,Clarke Hinkle 1 yard rush (Tiny Engebretsen kick),14,16
5,3.0,Packers,Tiny Engebretsen 15 yard field goal,17,16
6,3.0,Giants,Hank Soar 23 yard pass from Ed Danowski (Ward Cuff kick),17,23
