,Quarter,Tm,Detail,DEN,SEA
0,1.0,Broncos,David Treadwell 49 yard field goal,3,0
1,1.0,Seahawks,Norm Johnson 21 yard field goal,3,3
2,2.0,Broncos,Bobby Humphrey 1 yard rush (David Treadwell kick),10,3
3,2.0,Seahawks,Tommy Kane 5 yard pass from Dave Krieg (Norm Johnson kick),10,10
4,3.0,Broncos,"Safety, Krieg intentional grounding in end zone",12,10
5,3.0,Seahawks,Derrick Fenner 1 yard rush (Norm Johnson kick),12,17
