,Quarter,Time,Tm,Detail,CAR,GNB
0,1.0,7:22,Panthers,Curtis Samuel 2 yard pass from Kyle Allen (Joey Slye kick),7,0
1,1.0,3:39,Packers,Aaron Jones 5 yard rush (Mason Crosby kick),7,7
2,2.0,15:00,Panthers,Joey Slye 50 yard field goal,10,7
3,2.0,9:29,Packers,Aaron Jones 1 yard rush (Mason Crosby kick),10,14
4,3.0,11:54,Packers,Aaron Jones 13 yard rush (Mason Crosby kick),10,21
5,3.0,1:26,Packers,Mason Crosby 47 yard field goal,10,24
6,4.0,12:02,Panthers,Christian McCaffrey 3 yard rush (pass failed),16,24
