,Quarter,Time,Tm,Detail,NOR,ATL
0,1.0,,Falcons,Morten Andersen 22 yard field goal,0,3
1,2.0,,Saints,Lamar Smith 5 yard rush (Doug Brien kick),7,3
2,2.0,,Falcons,Jamal Anderson 31 yard rush (Morten Andersen kick),7,10
3,2.0,6:51,Falcons,Tony Martin 45 yard pass from Chris Chandler (Morten Andersen kick),7,17
4,2.0,6:51,Saints,Keith Poole 64 yard pass from Billy Joe Tolliver (Doug Brien kick),14,17
5,3.0,6:51,Saints,"Safety, Martin sacked DeBerg in end zone",16,17
6,4.0,6:51,Falcons,Bob Christian 8 yard pass from Steve DeBerg (Morten Andersen kick),16,24
7,4.0,6:51,Falcons,Eugene Robinson 25 yard interception return (Morten Andersen kick),16,31
8,4.0,6:51,Saints,Keith Poole 82 yard pass from Billy Joe Tolliver (Doug Brien kick),23,31
