,Quarter,Tm,Detail,NYG,DAL
0,1.0,Cowboys,Mike Renfro 58 yard pass from Gary Hogeboom (Rafael Septien kick),0,7
1,2.0,Giants,Bobby Johnson 7 yard pass from Phil Simms (Eric Schubert kick),7,7
2,2.0,Giants,Tony Galbreath 10 yard pass from Phil Simms (Eric Schubert kick),14,7
3,2.0,Cowboys,Jim Jeffcoat 65 yard interception return (Rafael Septien kick),14,14
4,2.0,Cowboys,Mike Renfro 12 yard pass from Danny White (Rafael Septien kick),14,21
5,4.0,Cowboys,Timmy Newsome 1 yard rush (Rafael Septien kick),14,28
6,4.0,Giants,Joe Morris 1 yard rush (Eric Schubert kick),21,28
