,Quarter,Time,Tm,Detail,OAK,TEN
0,1,,Oilers,Al Del Greco 30 yard field goal,0,3
1,1,,Oilers,Chris Sanders 48 yard pass from Steve McNair (Al Del Greco kick),0,10
2,3,,Oilers,Al Del Greco 37 yard field goal,0,13
3,3,,Raiders,Tim Brown 59 yard pass from Jeff George (Cole Ford kick),7,13
4,4,,Raiders,Tim Brown 27 yard pass from Jeff George (Cole Ford kick),14,13
5,4,,Oilers,Eddie George 29 yard rush (Eddie George run),14,21
6,4,,Raiders,Tim Brown 16 yard pass from Jeff George (Cole Ford kick),21,21
7,OT,,Oilers,Al Del Greco 33 yard field goal,21,24
