,Quarter,Tm,Detail,NYJ,WAS
0,2.0,Redskins,Gary Clark 20 yard pass from Jay Schroeder (Ali Haji-Sheikh kick),0,7
1,2.0,Jets,Pat Leahy 33 yard field goal,3,7
2,3.0,Jets,Pat Leahy 23 yard field goal,6,7
3,3.0,Jets,Mickey Shuler 15 yard pass from Ken O'Brien (Pat Leahy kick),13,7
4,4.0,Jets,Pat Leahy 21 yard field goal,16,7
5,4.0,Redskins,Kelvin Bryant 2 yard pass from Jay Schroeder (Ali Haji-Sheikh kick),16,14
6,4.0,Redskins,Ali Haji-Sheikh 28 yard field goal,16,17
