,Quarter,Tm,Detail,SDG,DAL
0,1.0,Cowboys,Dennis McKinnon 28 yard pass from Troy Aikman (Ken Willis kick),0,7
1,1.0,Chargers,Craig McEwen 14 yard pass from Mark Vlasic (Fuad Reveiz kick),7,7
2,2.0,Chargers,Marion Butts 1 yard rush (Fuad Reveiz kick),14,7
3,4.0,Cowboys,Ken Willis 31 yard field goal,14,10
4,4.0,Cowboys,Troy Aikman 1 yard rush (Ken Willis kick),14,17
