,Quarter,Tm,Detail,NYG,BKN
0,1,Dodgers,Ace Parker 68 yard interception return (Ralph Kercheval kick),0,7
1,4,Giants,Dale Burnett 7 yard pass from Ed Danowski (Ward Cuff kick),7,7
