,Quarter,Time,Tm,Detail,KAN,SEA
0,1.0,2:23,Seahawks,Rian Lindell 50 yard field goal,0,3
1,1.0,0:53,Chiefs,Derrick Alexander 59 yard pass from Elvis Grbac (Todd Peterson kick),7,3
2,2.0,8:30,Seahawks,Christian Fauria 2 yard pass from Jon Kitna (Rian Lindell kick),7,10
3,2.0,5:54,Chiefs,Derrick Alexander 50 yard pass from Elvis Grbac (Todd Peterson kick),14,10
4,2.0,2:20,Chiefs,Kevin Lockett 34 yard pass from Elvis Grbac (Todd Peterson kick),21,10
5,4.0,14:57,Seahawks,Rian Lindell 24 yard field goal,21,13
6,4.0,5:53,Seahawks,Ricky Watters 14 yard pass from Jon Kitna (pass failed),21,19
7,4.0,0:42,Chiefs,Todd Peterson 37 yard field goal,24,19
