,Quarter,Tm,Detail,SEA,DEN
0,1.0,Seahawks,John Williams 10 yard rush (John Kasay kick),7,0
1,2.0,Broncos,Vance Johnson 20 yard pass from John Elway (Jason Elam kick),7,7
2,2.0,Broncos,Robert Delpino 2 yard rush (Jason Elam kick),7,14
3,2.0,Broncos,Shannon Sharpe 5 yard pass from John Elway (Jason Elam kick),7,21
4,3.0,Seahawks,John Kasay 53 yard field goal,10,21
5,3.0,Broncos,Robert Delpino 1 yard rush (Jason Elam kick),10,28
6,4.0,Seahawks,John Williams 2 yard rush (John Kasay kick),17,28
