,Quarter,Tm,Detail,CIN,PHI
0,1.0,Bengals,Jim Breech 19 yard field goal,3,0
1,2.0,Bengals,"Safety, Williams tackled Jaworski in end zone",5,0
2,2.0,Bengals,Jim Breech 38 yard field goal,8,0
3,2.0,Bengals,Jim Breech 49 yard field goal,11,0
4,3.0,Bengals,Dan Ross 2 yard pass from Ken Anderson (Jim Breech kick),18,0
5,4.0,Eagles,Perry Harrington 2 yard rush (Tony Franklin kick),18,7
6,4.0,Eagles,Louie Giammona 1 yard rush (Tony Franklin kick),18,14
