,Quarter,Tm,Detail,PIT,WAS
0,1.0,Redskins,Johnny Olszewski 1 yard rush (Bob Khayat kick),0,7
1,1.0,Steelers,Tom Tracy 5 yard pass from Rudy Bukich (Bobby Layne kick),7,7
2,2.0,Redskins,Bob Khayat 15 yard field goal,7,10
3,2.0,Steelers,Bobby Layne 17 yard field goal,10,10
4,3.0,Steelers,Joe Lewis defensive fumble recovery in end zone (Bobby Layne kick),17,10
5,3.0,Redskins,Joe Walton 35 yard pass from Ralph Guglielmi (Bob Khayat kick),17,17
6,4.0,Redskins,Bill Anderson 12 yard pass from Ralph Guglielmi (Bob Khayat kick),17,24
7,4.0,Steelers,Bobby Layne 15 yard field goal,20,24
8,4.0,Steelers,Buddy Dial 27 yard pass from Rudy Bukich (Bobby Layne kick),27,24
9,4.0,Redskins,Bob Khayat 43 yard field goal,27,27
