,Quarter,Tm,Detail,SFO,BUF
0,1.0,49ers,Ray Wersching 37 yard field goal,3,0
1,2.0,Bills,Roosevelt Leaks 1 yard rush (Joe Danelo kick),3,7
2,2.0,49ers,Ray Wersching 29 yard field goal,6,7
3,2.0,Bills,Joe Danelo 33 yard field goal,6,10
4,3.0,49ers,Roger Craig 4 yard pass from Joe Montana (Ray Wersching kick),13,10
5,3.0,49ers,Wendell Tyler 4 yard rush (Ray Wersching kick),20,10
6,4.0,49ers,Ray Wersching 30 yard field goal,23,10
