,Quarter,Tm,Detail,DEN,SEA
0,2.0,Broncos,Shannon Sharpe 50 yard pass from John Elway (Jason Elam kick),7,0
1,3.0,Seahawks,"Safety, Stephens tackled Elway in end zone",7,2
2,3.0,Broncos,Jason Elam 25 yard field goal,10,2
3,4.0,Seahawks,Kelvin Martin 10 yard pass from Rick Mirer (John Kasay kick),10,9
4,4.0,Broncos,Rod Bernstine 2 yard rush (Jason Elam kick),17,9
