,Quarter,Tm,Detail,CRD,DET
0,1.0,Lions,Art Van Tone 1 yard rush (Frankie Sinkwich kick),0,7
1,2.0,Lions,Frankie Sinkwich 2 yard rush (Frankie Sinkwich kick),0,14
2,4.0,Cards/Steelers,Bob Thurbon 1 yard rush (Conway Baker kick),7,14
3,4.0,Lions,Frankie Sinkwich 12 yard rush (Frankie Sinkwich kick),7,21
