,Quarter,Tm,Detail,RAM,BUF
0,1.0,Rams,Buford McGee 3 yard pass from Jim Everett (Mike Lansford kick),7,0
1,2.0,Bills,Scott Norwood 38 yard field goal,7,3
2,2.0,Bills,Scott Norwood 47 yard field goal,7,6
3,3.0,Rams,Mike Lansford 34 yard field goal,10,6
4,4.0,Bills,Scott Norwood 40 yard field goal,10,9
5,4.0,Rams,Mike Lansford 36 yard field goal,13,9
6,4.0,Bills,Thurman Thomas 1 yard pass from Frank Reich (Scott Norwood kick),13,16
7,4.0,Rams,Flipper Anderson 78 yard pass from Jim Everett (Mike Lansford kick),20,16
8,4.0,Bills,Andre Reed 8 yard pass from Frank Reich (Scott Norwood kick),20,23
