,Quarter,Tm,Detail,CLE,HOU
0,1.0,Browns,Eric Metcalf 49 yard pass from Vinny Testaverde (Matt Stover kick),7,0
1,1.0,Browns,Matt Stover 53 yard field goal,10,0
2,1.0,Oilers,Al Del Greco 27 yard field goal,10,3
3,2.0,Oilers,Al Del Greco 48 yard field goal,10,6
4,2.0,Oilers,Spencer Tillman 4 yard pass from Warren Moon (Al Del Greco kick),10,13
5,2.0,Oilers,Al Del Greco 49 yard field goal,10,16
6,3.0,Browns,Mark Carrier 28 yard pass from Vinny Testaverde (Matt Stover kick),17,16
7,4.0,Oilers,Al Del Greco 25 yard field goal,17,19
