,Quarter,Tm,Detail,WAS,STL
0,2.0,Cardinals,Jim Bakken 26 yard field goal,0,3
1,2.0,Redskins,Bobby Mitchell 7 yard pass from Sonny Jurgensen (Charlie Gogolak kick),7,3
2,3.0,Cardinals,Jim Bakken 13 yard field goal,7,6
3,4.0,Cardinals,Jim Bakken 11 yard field goal,7,9
4,4.0,Cardinals,Johnny Roland 22 yard rush (Jim Bakken kick),7,16
5,4.0,Cardinals,Jackie Smith 11 yard pass from Charley Johnson (Jim Bakken kick),7,23
