,Quarter,Time,Tm,Detail,BUF,CLE
0,1.0,6:51,Browns,Phil Dawson 35 yard field goal,0,3
1,2.0,13:48,Browns,"Safety,",0,5
2,2.0,1:22,Browns,Phil Dawson 49 yard field goal,0,8
