,Quarter,Tm,Detail,PIT,DEN
0,1.0,Broncos,Bobby Humphrey 22 yard rush (David Treadwell kick),0,7
1,1.0,Broncos,David Treadwell 26 yard field goal,0,10
2,2.0,Steelers,Rodney Carter 15 yard pass from Bubby Brister (Gary Anderson kick),7,10
3,2.0,Broncos,David Treadwell 26 yard field goal,7,13
4,3.0,Broncos,Vance Johnson 44 yard pass from John Elway (David Treadwell kick),7,20
5,4.0,Broncos,John Elway 2 yard rush (David Treadwell kick),7,27
6,4.0,Broncos,Bobby Humphrey 12 yard rush (David Treadwell kick),7,34
