,Quarter,Time,Tm,Detail,DAL,WAS
0,1,7:44,Cowboys,Dez Bryant 22 yard pass from Tony Romo (Dan Bailey kick),7,0
1,2,10:23,Cowboys,Dan Bailey 37 yard field goal,10,0
2,2,3:59,Redskins,Rex Grossman 4 yard rush (Graham Gano kick),10,7
3,2,0:14,Redskins,Jabar Gaffney 16 yard pass from Rex Grossman (Graham Gano kick),10,14
4,3,11:40,Redskins,Graham Gano 40 yard field goal,10,17
5,4,14:43,Cowboys,Laurent Robinson 7 yard pass from Tony Romo (Dan Bailey kick),17,17
6,4,8:48,Cowboys,Jason Witten 59 yard pass from Tony Romo (Dan Bailey kick),24,17
7,4,0:14,Redskins,Donte' Stallworth 4 yard pass from Rex Grossman (Graham Gano kick),24,24
8,OT,5:39,Cowboys,Dan Bailey 39 yard field goal,27,24
