,Quarter,Tm,Detail,RAI,SDG
0,1.0,Chargers,Chuck Muncie 5 yard pass from Dan Fouts (Rolf Benirschke kick),0,7
1,2.0,Chargers,Rolf Benirschke 24 yard field goal,0,10
2,2.0,Raiders,Todd Christensen 43 yard pass from Marcus Allen (Chris Bahr kick),7,10
3,2.0,Raiders,Todd Christensen 25 yard pass from Jim Plunkett (Chris Bahr kick),14,10
4,3.0,Raiders,Frank Hawkins 20 yard rush (Chris Bahr kick),21,10
5,3.0,Raiders,Frank Hawkins 1 yard rush (Chris Bahr kick),28,10
6,3.0,Raiders,Rod Martin 29 yard interception return (Chris Bahr kick),35,10
7,3.0,Raiders,Todd Christensen 14 yard pass from Jim Plunkett (Chris Bahr kick),42,10
