,Quarter,Time,Tm,Detail,NYG,BAL
0,1.0,7:38,Ravens,Torrey Smith 6 yard pass from Joe Flacco (Justin Tucker kick),0,7
1,1.0,4:24,Ravens,Joe Flacco 1 yard rush (Justin Tucker kick),0,14
2,1.0,1:30,Giants,David Wilson 14 yard rush (Lawrence Tynes kick),7,14
3,2.0,6:05,Ravens,Justin Tucker 23 yard field goal,7,17
4,2.0,1:04,Ravens,Ray Rice 27 yard pass from Joe Flacco (Justin Tucker kick),7,24
5,3.0,5:18,Ravens,Justin Tucker 21 yard field goal,7,27
6,4.0,11:08,Ravens,Justin Tucker 30 yard field goal,7,30
7,4.0,7:25,Ravens,Justin Tucker 29 yard field goal,7,33
8,4.0,3:18,Giants,Domenik Hixon 13 yard pass from Eli Manning (Lawrence Tynes kick),14,33
