,Quarter,Tm,Detail,CLE,DEN
0,1.0,Broncos,David Treadwell 29 yard field goal,0,3
1,2.0,Broncos,Mike Young 70 yard pass from John Elway (David Treadwell kick),0,10
2,3.0,Browns,Brian Brennan 27 yard pass from Bernie Kosar (Matt Bahr kick),7,10
3,3.0,Broncos,Orson Mobley 5 yard pass from John Elway (David Treadwell kick),7,17
4,3.0,Broncos,Sammy Winder 7 yard rush (David Treadwell kick),7,24
5,3.0,Browns,Brian Brennan 10 yard pass from Bernie Kosar (Matt Bahr kick),14,24
6,3.0,Browns,Tim Manoa 2 yard rush (Matt Bahr kick),21,24
7,4.0,Broncos,Sammy Winder 39 yard pass from John Elway (David Treadwell kick),21,31
8,4.0,Broncos,David Treadwell 34 yard field goal,21,34
9,4.0,Broncos,David Treadwell 31 yard field goal,21,37
