,Quarter,Tm,Detail,CIN,SEA
0,1.0,Seahawks,John Kasay 40 yard field goal,0,3
1,2.0,Bengals,Ray Bentley 75 yard defensive fumble return (Jim Breech kick),7,3
2,4.0,Bengals,Eric Ball 1 yard rush (Jim Breech kick),14,3
3,4.0,Bengals,Fernandus Vinson 22 yard defensive fumble return (Jim Breech kick),21,3
