,Quarter,Time,Tm,Detail,DET,CHI
0,1.0,8:45,Lions,Matt Prater 22 yard field goal,3,0
1,2.0,4:46,Lions,Matt Prater 54 yard field goal,6,0
2,2.0,0:32,Bears,Ben Braunecker 18 yard pass from Mitchell Trubisky (Eddy Pineiro kick),6,7
3,3.0,12:30,Bears,Tarik Cohen 9 yard pass from Mitchell Trubisky (Eddy Pineiro kick failed),6,13
4,3.0,9:44,Bears,Taylor Gabriel 24 yard pass from Mitchell Trubisky (Eddy Pineiro kick),6,20
5,4.0,6:03,Lions,Kenny Golladay 47 yard pass from Jeff Driskel (Matt Prater kick),13,20
