,Quarter,Time,Tm,Detail,GNB,DEN
0,1,3:52,Broncos,Tony Scheffler 5 yard pass from Jay Cutler (Jason Elam kick),0,7
1,1,3:29,Packers,James Jones 79 yard pass from Brett Favre (Mason Crosby kick),7,7
2,2,7:15,Packers,Mason Crosby 19 yard field goal,10,7
3,2,1:26,Packers,Mason Crosby 26 yard field goal,13,7
4,3,3:00,Broncos,Jason Elam 45 yard field goal,13,10
5,4,0:00,Broncos,Jason Elam 21 yard field goal,13,13
6,OT,14:44,Packers,Greg Jennings 82 yard pass from Brett Favre,19,13
