,Quarter,Tm,Detail,DAL,PHI
0,1.0,Cowboys,Dan Reeves 2 yard rush (Danny Villanueva kick),7,0
1,1.0,Eagles,Timmy Brown 93 yard kickoff return (Sam Baker kick),7,7
2,1.0,Cowboys,Danny Villanueva 21 yard field goal,10,7
3,2.0,Cowboys,Don Meredith 1 yard rush (Danny Villanueva kick),17,7
4,2.0,Eagles,Timmy Brown 90 yard kickoff return (Sam Baker kick),17,14
5,2.0,Eagles,Aaron Martin 67 yard punt return (Sam Baker kick),17,21
6,2.0,Eagles,Sam Baker 31 yard field goal,17,24
7,3.0,Cowboys,Danny Villanueva 14 yard field goal,20,24
8,4.0,Cowboys,Danny Villanueva 42 yard field goal,23,24
