,Quarter,Tm,Detail,SFO,MIN
0,1.0,49ers,Jerry Rice 15 yard pass from Steve Young (Mike Cofer kick),7,0
1,2.0,Vikings,Anthony Carter 46 yard pass from Wade Wilson (Fuad Reveiz kick),7,7
2,2.0,Vikings,Herschel Walker 1 yard rush (Fuad Reveiz kick),7,14
3,2.0,Vikings,Fuad Reveiz 31 yard field goal,7,17
4,4.0,49ers,Jerry Rice 21 yard pass from Steve Young (Mike Cofer kick),14,17
