,Quarter,Tm,Detail,ATL,SFO
0,1.0,49ers,Freddie Solomon 56 yard rush (Ray Wersching kick),0,7
1,2.0,Falcons,Tim Mazzetti 23 yard field goal,3,7
2,2.0,Falcons,Alfred Jenkins 7 yard pass from Steve Bartkowski,9,7
3,3.0,49ers,Paul Hofer 2 yard rush (Ray Wersching kick),9,14
4,4.0,Falcons,Rolland Lawrence 41 yard blocked punt return,15,14
5,4.0,49ers,Paul Hofer 3 yard rush,15,20
