,Quarter,Tm,Detail,BAL,DET
0,1.0,Lions,Gail Cogdill 40 yard pass from Earl Morrall (Wayne Walker kick),0,7
1,1.0,Colts,Jim Martin 17 yard field goal,3,7
2,2.0,Colts,J.W. Lockett 11 yard pass from Johnny Unitas (Jim Martin kick),10,7
3,2.0,Lions,Nick Pietrosante 7 yard rush (Wayne Walker kick),10,14
4,2.0,Lions,Yale Lary 21 yard interception return (Wayne Walker kick),10,21
5,3.0,Colts,Jim Martin 45 yard field goal,13,21
6,3.0,Colts,Jim Martin 37 yard field goal,16,21
7,4.0,Colts,Jim Martin 45 yard field goal,19,21
8,4.0,Colts,Andy Nelson 26 yard interception return,25,21
