,Quarter,Time,Tm,Detail,BUF,MIA
0,1.0,3:33,Dolphins,Olindo Mare 22 yard field goal,0,3
1,2.0,10:28,Dolphins,Lamar Smith 6 yard rush (Olindo Mare kick),0,10
2,2.0,0:00,Dolphins,Olindo Mare 20 yard field goal,0,13
3,3.0,5:28,Bills,Larry Centers 12 yard pass from Travis Brown (Shayne Graham kick),7,13
4,4.0,13:31,Dolphins,James McKnight 16 yard pass from Jay Fiedler (Olindo Mare kick),7,20
5,4.0,8:03,Dolphins,Jay Fiedler 18 yard rush (Olindo Mare kick),7,27
6,4.0,0:00,Dolphins,Brock Marion 100 yard interception return (Olindo Mare kick),7,34
