,Quarter,Time,Tm,Detail,SFO,ARI
0,1.0,12:17,Cardinals,Kenyan Drake 4 yard rush (Zane Gonzalez kick),0,7
1,1.0,0:13,49ers,George Kittle 30 yard pass from Jimmy Garoppolo (Robbie Gould kick),7,7
2,2.0,9:05,49ers,Kendrick Bourne 7 yard pass from Jimmy Garoppolo (Robbie Gould kick),14,7
3,2.0,0:04,49ers,Emmanuel Sanders 1 yard pass from Jimmy Garoppolo (Robbie Gould kick),21,7
4,3.0,9:07,Cardinals,KeeSean Johnson 9 yard pass from Kyler Murray (Zane Gonzalez kick),21,14
5,3.0,6:02,49ers,Dante Pettis 21 yard pass from Jimmy Garoppolo (Robbie Gould kick),28,14
6,4.0,9:28,Cardinals,Zane Gonzalez 36 yard field goal,28,17
7,4.0,5:09,Cardinals,Andy Isabella 88 yard pass from Kyler Murray (Kenyan Drake pass from Kyler Murray ),28,25
