,Quarter,Tm,Detail,WAS,NYG
0,1.0,Redskins,Jim Martin 43 yard field goal,3,0
1,2.0,Redskins,Preston Carpenter 15 yard pass from Sonny Jurgensen (Jim Martin kick),10,0
2,3.0,Giants,Don Chandler 40 yard field goal,10,3
3,4.0,Giants,Don Chandler 19 yard field goal,10,6
4,4.0,Giants,Gary Wood 1 yard rush (Don Chandler kick),10,13
