,Quarter,Tm,Detail,KAN,OAK
0,1.0,Raiders,Fred Biletnikoff 32 yard pass from Ken Stabler (Errol Mann kick),0,7
1,2.0,Chiefs,MacArthur Lane 1 yard pass from Mike Livingston (Jan Stenerud kick),7,7
2,2.0,Raiders,Pete Banaszak 1 yard rush (Errol Mann kick),7,14
3,3.0,Raiders,Dave Casper 22 yard pass from Ken Stabler (Errol Mann kick),7,21
4,3.0,Chiefs,Jan Stenerud 41 yard field goal,10,21
