,Quarter,Tm,Detail,GNB,CLE
0,1.0,Browns,Matt Stover 26 yard field goal,0,3
1,3.0,Packers,Chris Jacke 44 yard field goal,3,3
2,3.0,Browns,Kevin Mack 1 yard rush (Matt Stover kick),3,10
3,4.0,Packers,Chris Jacke 37 yard field goal,6,10
4,4.0,Browns,Kevin Mack 5 yard rush (Matt Stover kick),6,17
