,Quarter,Tm,Detail,CLE,STL
0,1.0,Browns,Gary Collins 13 yard pass from Frank Ryan (Lou Groza kick),7,0
1,2.0,Browns,Jim Brown 3 yard rush (Lou Groza kick),14,0
2,2.0,Browns,Lou Groza 44 yard field goal,17,0
3,2.0,Cardinals,Larry Wilson 96 yard interception return (Jim Bakken kick),17,7
4,3.0,Cardinals,Terry Nofsinger 1 yard rush (Jim Bakken kick),17,14
5,3.0,Cardinals,Jim Bakken 23 yard field goal,17,17
6,4.0,Cardinals,Bill Triplett 5 yard pass from Terry Nofsinger (Jim Bakken kick),17,24
7,4.0,Browns,Lou Groza 45 yard field goal,20,24
8,4.0,Browns,Tom Hutchinson 24 yard pass from Frank Ryan (Lou Groza kick),27,24
