,Quarter,Tm,Detail,PHO,WAS
0,1.0,Redskins,Ricky Sanders 37 yard pass from Mark Rypien (Chip Lohmiller kick),0,7
1,2.0,Redskins,Earnest Byner 4 yard pass from Mark Rypien (Chip Lohmiller kick),0,14
2,3.0,Redskins,Gary Clark 43 yard pass from Mark Rypien (Chip Lohmiller kick),0,21
3,3.0,Redskins,Alvin Walton 57 yard interception return (Chip Lohmiller kick),0,28
4,4.0,Redskins,Chip Lohmiller 29 yard field goal,0,31
