,Quarter,Tm,Detail,CHI,BKN
0,1.0,Bears,Red Grange 19 yard pass from Dick Nesbitt (Cookie Tackwell kick),7,0
1,3.0,Bears,Hoot Drury 37 yard pass from Keith Molesworth,13,0
2,4.0,Bears,Paul Franklin 20 yard rush (Gardie Grange kick),20,0
3,4.0,Bears,Dick Nesbitt 25 yard interception return,26,0
