,Quarter,Tm,Detail,KAN,OAK
0,1.0,Raiders,Fred Biletnikoff 9 yard pass from Ken Stabler (George Blanda kick),0,7
1,2.0,Raiders,Marv Hubbard 31 yard rush (George Blanda kick),0,14
2,2.0,Raiders,George Blanda 20 yard field goal,0,17
3,2.0,Raiders,George Blanda 28 yard field goal,0,20
4,3.0,Raiders,George Blanda 27 yard field goal,0,23
5,3.0,Chiefs,Mike Livingston 17 yard rush (Jan Stenerud kick),7,23
6,4.0,Raiders,Charlie Smith 10 yard rush (George Blanda kick),7,30
7,4.0,Raiders,Cliff Branch 3 yard pass from Ken Stabler (George Blanda kick),7,37
