,Quarter,Tm,Detail,DEN,ATL
0,1.0,Broncos,Paul Smith 38 yard defensive fumble return (Jim Turner kick),7,0
1,2.0,Falcons,Alfred Jenkins 4 yard pass from Steve Bartkowski (Nick Mike-Mayer kick),7,7
2,2.0,Falcons,Alfred Jenkins 35 yard pass from Steve Bartkowski (Nick Mike-Mayer kick),7,14
3,3.0,Falcons,Haskel Stanback 1 yard rush (Nick Mike-Mayer kick),7,21
4,3.0,Broncos,Haven Moses 12 yard pass from Charley Johnson (Jim Turner kick),14,21
5,4.0,Falcons,Haskel Stanback 3 yard rush (Nick Mike-Mayer kick),14,28
6,4.0,Broncos,Jon Keyworth 1 yard rush (Jim Turner kick),21,28
7,4.0,Falcons,Ray Brown 41 yard interception return (Nick Mike-Mayer kick),21,35
