,Quarter,Tm,Detail,HOU,PIT
0,1.0,Steelers,D.J. Johnson 26 yard interception return (Gary Anderson kick),0,7
1,2.0,Oilers,Lorenzo White 1 yard rush (Tony Zendejas kick),7,7
2,2.0,Steelers,Gary Anderson 31 yard field goal,7,10
3,3.0,Oilers,"Safety, Childress tackled Brister in end zone",9,10
4,4.0,Steelers,Gary Anderson 27 yard field goal,9,13
5,4.0,Steelers,Rod Woodson 52 yard punt return (Gary Anderson kick),9,20
