,Quarter,Tm,Detail,NYJ,MIA
0,1.0,Jets,Pat Leahy 32 yard field goal,3,0
1,1.0,Dolphins,Ferrell Edmunds 8 yard pass from Dan Marino (Pete Stoyanovich kick),3,7
2,2.0,Dolphins,Ferrell Edmunds 19 yard pass from Jim Jensen,3,13
3,2.0,Jets,George Radachowsky 78 yard blocked field goal return (Pat Leahy kick),10,13
4,2.0,Jets,"Safety, punt snapped out of end zone",12,13
5,2.0,Dolphins,Fred Banks 43 yard pass from Dan Marino (Pete Stoyanovich kick),12,20
6,3.0,Dolphins,Pete Stoyanovich 21 yard field goal,12,23
7,3.0,Jets,Al Toon 37 yard pass from Ken O'Brien (Pat Leahy kick),19,23
8,3.0,Dolphins,Mark Clayton 14 yard pass from Dan Marino (Pete Stoyanovich kick),19,30
9,4.0,Jets,Johnny Hector 23 yard pass from Ken O'Brien (Pat Leahy kick),26,30
10,4.0,Dolphins,Pete Stoyanovich 20 yard field goal,26,33
11,4.0,Jets,Johnny Hector 1 yard rush (Pat Leahy kick),33,33
12,4.0,Jets,Roger Vick 11 yard pass from Ken O'Brien (Pat Leahy kick),40,33
