,Quarter,Time,Tm,Detail,JAX,CHI
0,1.0,6:25,Bears,Jeff Jaeger 45 yard field goal,0,3
1,2.0,8:23,Jaguars,James Stewart 3 yard pass from Mark Brunell (Mike Hollis kick),7,3
2,2.0,7:25,Bears,Glyn Milburn 89 yard kickoff return (Jeff Jaeger kick),7,10
3,2.0,0:07,Bears,Jeff Jaeger 35 yard field goal,7,13
4,3.0,3:21,Jaguars,James Stewart 7 yard rush (Mike Hollis kick),14,13
5,4.0,14:38,Jaguars,Mike Hollis 23 yard field goal,17,13
6,4.0,9:44,Bears,Edgar Bennett 1 yard rush (Jeff Jaeger kick),17,20
7,4.0,5:12,Bears,Jeff Jaeger 19 yard field goal,17,23
8,4.0,0:33,Jaguars,Jimmy Smith 4 yard pass from Mark Brunell (Mike Hollis kick),24,23
