,Quarter,Tm,Detail,PIT,BKN
0,2.0,Dodgers,Perry Schwartz 9 yard pass from Ace Parker (Bruiser Kinard kick),0,7
1,2.0,Pirates,Armand Niccolai 25 yard field goal,3,7
2,3.0,Pirates,Armand Niccolai 37 yard field goal,6,7
3,3.0,Dodgers,Ace Parker 28 yard rush (Bruiser Kinard kick),6,14
4,4.0,Dodgers,Ace Parker 28 yard field goal,6,17
5,4.0,Pirates,Bill Sortet 22 yard pass from Hugh McCullough (Armand Niccolai kick),13,17
