,Quarter,Tm,Detail,PHI,SEA
0,1.0,Eagles,Paul McFadden 35 yard field goal,3,0
1,1.0,Seahawks,Daryl Turner 72 yard pass from Dave Krieg (Norm Johnson kick),3,7
2,2.0,Eagles,Paul McFadden 32 yard field goal,6,7
3,2.0,Seahawks,Eric Lane 12 yard blocked punt return (Norm Johnson kick),6,14
4,2.0,Seahawks,Bobby Joe Edmonds 75 yard punt return (Norm Johnson kick),6,21
5,3.0,Eagles,Kenny Jackson 7 yard pass from Randall Cunningham (Paul McFadden kick),13,21
6,4.0,Eagles,Kenny Jackson 9 yard pass from Randall Cunningham (Paul McFadden kick),20,21
7,4.0,Seahawks,Norm Johnson 35 yard field goal,20,24
