,Quarter,Time,Tm,Detail,BAL,NWE
0,2.0,13:33,Ravens,Matt Stover 19 yard field goal,3,0
1,2.0,10:01,Patriots,Adam Vinatieri 25 yard field goal,3,3
2,2.0,5:04,Patriots,Mike Bartrum 1 yard pass from Drew Bledsoe (Adam Vinatieri kick),3,10
3,2.0,0:00,Patriots,Adam Vinatieri 51 yard field goal,3,13
4,3.0,7:59,Patriots,Chad Eaton 23 yard defensive fumble return (Adam Vinatieri kick),3,20
