,Quarter,Time,Tm,Detail,JAX,NOR
0,1.0,,Saints,Mario Bates 1 yard rush (Doug Brien kick),0,7
1,1.0,,Saints,Doug Brien 27 yard field goal,0,10
2,2.0,,Jaguars,James Stewart 21 yard pass from Mark Brunell (Mike Hollis kick),7,10
3,3.0,,Jaguars,Mike Hollis 36 yard field goal,10,10
4,4.0,,Jaguars,Mike Hollis 19 yard field goal,13,10
5,4.0,,Saints,Torrance Small 6 yard pass from Jim Everett (Doug Brien kick),13,17
