,Quarter,Time,Tm,Detail,WAS,DAL
0,1.0,7:44,Cowboys,Kai Forbath 28 yard field goal,0,3
1,1.0,5:18,Cowboys,Kai Forbath 47 yard field goal,0,6
2,2.0,13:41,Redskins,Dustin Hopkins 31 yard field goal,3,6
3,2.0,11:09,Cowboys,Ezekiel Elliott 13 yard pass from Dak Prescott (Kai Forbath kick),3,13
4,2.0,4:00,Cowboys,Ezekiel Elliott 33 yard rush (Kai Forbath kick),3,20
5,2.0,0:38,Redskins,Steven Sims 6 yard pass from Case Keenum (Dustin Hopkins kick),10,20
6,3.0,11:58,Redskins,Dustin Hopkins 42 yard field goal,13,20
7,3.0,8:25,Cowboys,Michael Gallup 4 yard pass from Dak Prescott (Kai Forbath kick),13,27
8,3.0,7:04,Redskins,Dustin Hopkins 28 yard field goal,16,27
9,3.0,4:11,Cowboys,Kai Forbath 48 yard field goal,16,30
10,3.0,1:03,Cowboys,Michael Gallup 32 yard pass from Dak Prescott (Kai Forbath kick),16,37
11,4.0,12:54,Cowboys,Michael Gallup 45 yard pass from Dak Prescott (Kai Forbath kick),16,44
12,4.0,2:44,Cowboys,Kai Forbath 40 yard field goal,16,47
