,Quarter,Time,Tm,Detail,NOR,JAX
0,1.0,2:33,Saints,Wil Lutz 47 yard field goal,3,0
1,2.0,2:44,Jaguars,Josh Lambo 22 yard field goal,3,3
2,3.0,8:42,Saints,Wil Lutz 21 yard field goal,6,3
3,3.0,3:14,Jaguars,Josh Lambo 32 yard field goal,6,6
4,4.0,11:53,Saints,Jared Cook 4 yard pass from Teddy Bridgewater (Wil Lutz kick),13,6
