,Quarter,Tm,Detail,NYJ,BAL
0,1.0,Colts,Jim O'Brien 38 yard field goal,0,3
1,1.0,Colts,Tom Matte 1 yard rush (Jim O'Brien kick),0,10
2,2.0,Colts,Jim O'Brien 21 yard field goal,0,13
3,2.0,Colts,Norm Bulaich 67 yard rush,0,19
4,4.0,Colts,Jim O'Brien 21 yard field goal,0,22
