,Quarter,Tm,Detail,GNB,DET
0,2.0,Packers,Paul Hornung 2 yard rush (Paul Hornung kick),7,0
1,2.0,Lions,Wayne Walker 45 yard field goal,7,3
2,2.0,Packers,Bart Starr 5 yard rush (Paul Hornung kick),14,3
3,4.0,Lions,Pat Studstill 15 yard pass from Earl Morrall (Wayne Walker kick),14,10
