,Quarter,Tm,Detail,STL,ATL
0,1.0,Falcons,Nick Mike-Mayer 32 yard field goal,0,3
1,1.0,Falcons,Tom Hayes 38 yard interception return (Nick Mike-Mayer kick),0,10
2,2.0,Cardinals,Jim Bakken 35 yard field goal,3,10
3,2.0,Cardinals,Jim Otis 1 yard rush (Jim Bakken kick),10,10
4,3.0,Cardinals,Jim Bakken 46 yard field goal,13,10
5,3.0,Cardinals,Jim Bakken 35 yard field goal,16,10
6,3.0,Cardinals,Jim Bakken 31 yard field goal,19,10
7,4.0,Cardinals,Jim Bakken 37 yard field goal,22,10
8,4.0,Cardinals,Jim Bakken 28 yard field goal,25,10
9,4.0,Cardinals,Jim McFarland 32 yard offensive fumble return (Jim Bakken kick),32,10
