,Quarter,Time,Tm,Detail,DET,MIN
0,1.0,5:52,Vikings,Olabisi Johnson 9 yard pass from Kirk Cousins (Dan Bailey kick),0,7
1,2.0,4:45,Vikings,Dan Bailey 27 yard field goal,0,10
2,2.0,0:25,Vikings,Dalvin Cook 3 yard rush (Dan Bailey kick),0,17
3,4.0,15:00,Vikings,Dan Bailey 50 yard field goal,0,20
4,4.0,2:14,Lions,Kenny Golladay 10 yard pass from David Blough (Matt Prater kick),7,20
