,Quarter,Tm,Detail,SDG,RAI
0,2.0,Raiders,Marcus Allen 11 yard rush (Chris Bahr kick),0,7
1,2.0,Chargers,Vince Abbott 23 yard field goal,3,7
2,2.0,Raiders,Tim Brown 97 yard kickoff return (Chris Bahr kick),3,14
3,3.0,Chargers,Vince Abbott 33 yard field goal,6,14
4,4.0,Raiders,Chris Bahr 25 yard field goal,6,17
5,4.0,Chargers,Jamie Holland 24 yard pass from Babe Laufenberg (Vince Abbott kick),13,17
6,4.0,Raiders,Marcus Allen 1 yard rush (Chris Bahr kick),13,24
