,Quarter,Tm,Detail,CLE,CHI
0,1.0,Browns,Jim Brown 77 yard pass from Milt Plum (Lou Groza kick),7,0
1,1.0,Browns,Bobby Crespino 13 yard pass from Milt Plum (Lou Groza kick),14,0
2,4.0,Bears,Willie Galimore 3 yard rush (Roger LeClerc kick),14,7
3,4.0,Bears,Angelo Coia 64 yard pass from Ed Brown (Roger LeClerc kick),14,14
4,4.0,Bears,Roger LeClerc 9 yard field goal,14,17
